TomH	14:23 1/4/2021	155
Tom	14:23 1/4/2021	129
TomH	15:50 1/4/2021	116
Jim	15:50 1/4/2021	112
Jim	15:53 1/4/2021	134
Tom	15:53 1/4/2021	118
TomH	15:53 1/4/2021	103
Tom	15:54 1/4/2021	133
TomH	15:54 1/4/2021	156
